id,data,klient,kategoria,ilosc,cena,rabat,wartosc
79,2025-03-27,Wiśniewski,sport,1,264.73,0,264.73
80,2025-03-27,Wiśniewski,sport,4,361.42,0,1445.68
81,2025-03-28,Lis,zabawki,2,184.46,0,368.92
82,2025-03-28,Zielińska,sport,2,327.01,0,654.02
83,2025-03-29,Wiśniewski,zabawki,4,108.36,0,433.44
84,2025-03-29,Mazur,zabawki,1,43.8,0,43.8
85,2025-03-29,Lis,zabawki,3,32.69,0,98.07
86,2025-03-29,Mazur,elektronika,2,794.22,0,1588.44
87,2025-03-29,Lis,elektronika,1,817.32,0,817.32
88,2025-03-30,Wiśniewski,książki,4,44.44,20,142.21
89,2025-03-31,Lis,zabawki,1,126.59,0,126.59
90,2025-04-01,Kowalska,książki,1,53.13,0,53.13
91,2025-04-05,Kowalska,książki,3,70.2,0,210.6
92,2025-04-05,Wiśniewski,elektronika,4,296.69,0,1186.76
93,2025-04-06,Mazur,elektronika,1,453.99,5,431.29
94,2025-04-06,Zielińska,książki,3,67.58,10,182.47
95,2025-04-07,Wiśniewski,zabawki,3,174.13,10,470.15
96,2025-04-08,Wiśniewski,sport,4,398.19,5,1513.12
97,2025-04-08,Kowalska,książki,1,72.37,0,72.37
98,2025-04-08,Zielińska,książki,4,73.39,10,264.2
99,2025-04-08,Wiśniewski,książki,3,38.86,0,116.58
100,2025-04-09,Zielińska,zabawki,4,98.28,5,373.46
101,2025-04-10,Wiśniewski,zabawki,2,75.57,0,151.14
102,2025-04-10,Kowalska,książki,4,56.38,20,180.42
103,2025-04-11,Mazur,zabawki,3,189.6,0,568.8
104,2025-04-11,Wiśniewski,książki,1,40.68,5,38.65
105,2025-04-12,Nowak,książki,4,53.42,0,213.68
106,2025-04-12,Wiśniewski,sport,4,153.7,5,584.06
107,2025-04-13,Zielińska,książki,2,30.19,20,48.3
108,2025-04-13,Nowak,książki,3,31.71,10,85.62
109,2025-04-13,Kowalska,elektronika,2,228.23,0,456.46
110,2025-04-14,Nowak,zabawki,3,191.38,0,574.14
111,2025-04-14,Zielińska,sport,4,191.01,10,687.64
112,2025-04-14,Lis,sport,4,341.94,0,1367.76
113,2025-04-14,Mazur,książki,1,60.88,0,60.88
114,2025-04-15,Wiśniewski,książki,4,31.52,0,126.08
115,2025-04-15,Mazur,zabawki,2,59.83,0,119.66
116,2025-04-17,Kowalska,książki,3,68.72,0,206.16
117,2025-04-18,Lis,sport,4,142.65,0,570.6
118,2025-04-18,Zielińska,zabawki,2,185.26,10,333.47
119,2025-04-19,Lis,książki,2,28.4,10,51.12
120,2025-04-19,Lis,zabawki,2,145.21,0,290.42
121,2025-04-20,Zielińska,książki,4,68.87,0,275.48
122,2025-04-20,Kowalska,elektronika,2,467.6,0,935.2
123,2025-04-20,Zielińska,elektronika,2,522.88,10,941.18
124,2025-04-20,Lis,elektronika,2,1452.1,0,2904.2
125,2025-04-21,Mazur,zabawki,1,74.98,10,67.48
126,2025-04-22,Mazur,zabawki,2,103.09,20,164.94
127,2025-04-22,Kowalska,sport,1,201.38,10,181.24
128,2025-04-22,Zielińska,sport,1,138.56,0,138.56
129,2025-04-23,Nowak,elektronika,3,1197.32,20,2873.57
130,2025-04-23,Lis,książki,1,66.31,10,59.68
131,2025-04-23,Mazur,zabawki,3,94.31,5,268.78
132,2025-04-23,Nowak,sport,4,342.29,20,1095.33
133,2025-04-24,Zielińska,książki,3,32.78,20,78.67
134,2025-04-24,Mazur,elektronika,2,155.81,0,311.62
135,2025-04-25,Mazur,elektronika,1,921.08,20,736.86
136,2025-04-26,Wiśniewski,książki,4,79.64,10,286.7
137,2025-04-26,Nowak,zabawki,4,36.57,0,146.28
138,2025-04-26,Mazur,książki,3,32.48,0,97.44
139,2025-04-26,Mazur,zabawki,1,118.22,10,106.4
140,2025-04-28,Zielińska,zabawki,1,167.69,0,167.69
141,2025-04-28,Mazur,zabawki,2,45.14,0,90.28
142,2025-04-29,Nowak,elektronika,1,683.57,10,615.21
143,2025-04-30,Zielińska,książki,4,64.82,5,246.32
144,2025-04-30,Nowak,zabawki,1,93.16,20,74.53
145,2025-04-30,Mazur,zabawki,2,62.1,0,124.2
146,2025-04-30,Lis,elektronika,4,413.92,0,1655.68
147,2025-05-02,Mazur,sport,4,193.52,20,619.26
148,2025-05-03,Zielińska,książki,1,48.77,5,46.33
149,2025-05-04,Nowak,sport,2,351.64,0,703.28
150,2025-05-05,Nowak,książki,3,58.54,0,175.62
151,2025-05-06,Wiśniewski,książki,3,61.42,0,184.26
152,2025-05-07,Lis,elektronika,4,1477.03,5,5612.71
153,2025-05-08,Nowak,książki,4,44.71,0,178.84
154,2025-05-08,Mazur,książki,4,44.2,5,167.96
155,2025-05-09,Kowalska,książki,1,75.4,0,75.4
156,2025-05-09,Wiśniewski,elektronika,1,481.93,5,457.83
157,2025-05-09,Kowalska,zabawki,3,154.07,0,462.21
158,2025-05-10,Wiśniewski,książki,1,65.27,5,62.01
159,2025-05-10,Wiśniewski,zabawki,2,46.62,20,74.59
160,2025-05-10,Nowak,zabawki,1,109.6,0,109.6
161,2025-05-10,Zielińska,książki,4,32.03,0,128.12
162,2025-05-13,Lis,książki,1,31.12,10,28.01
163,2025-05-13,Mazur,sport,1,212.34,5,201.72
164,2025-05-13,Kowalska,zabawki,1,79.2,10,71.28
165,2025-05-13,Mazur,elektronika,1,1224.68,5,1163.45
166,2025-05-14,Mazur,zabawki,3,184.29,10,497.58
167,2025-05-16,Mazur,książki,2,68.16,5,129.5
168,2025-05-16,Wiśniewski,książki,4,35.96,0,143.84
169,2025-05-19,Mazur,zabawki,2,76.6,10,137.88
170,2025-05-19,Zielińska,książki,3,35.28,0,105.84
171,2025-05-19,Nowak,zabawki,3,52.96,0,158.88
172,2025-05-19,Kowalska,elektronika,3,1424.13,0,4272.39
173,2025-05-22,Lis,zabawki,4,98.35,0,393.4
174,2025-05-23,Nowak,elektronika,1,453.33,0,453.33
175,2025-05-24,Wiśniewski,książki,3,70.8,20,169.92
176,2025-05-24,Lis,książki,4,43.95,0,175.8
177,2025-05-25,Nowak,książki,4,22.11,0,88.44
178,2025-05-25,Wiśniewski,zabawki,3,57.53,0,172.59
179,2025-05-25,Kowalska,książki,3,58.36,10,157.57
180,2025-05-25,Zielińska,książki,4,66.97,10,241.09
181,2025-05-25,Kowalska,książki,3,32.66,10,88.18
182,2025-05-26,Mazur,książki,4,75.04,0,300.16
183,2025-05-26,Nowak,zabawki,1,174.67,20,139.74
184,2025-05-29,Mazur,książki,2,70.9,10,127.62
185,2025-05-30,Lis,sport,1,129.68,0,129.68
186,2025-05-30,Mazur,książki,1,23.03,5,21.88
187,2025-06-01,Mazur,zabawki,2,177.46,0,354.92
188,2025-06-01,Kowalska,elektronika,1,562.83,10,506.55
189,2025-06-02,Mazur,książki,2,57.13,20,91.41
190,2025-06-02,Zielińska,sport,2,315.99,0,631.98
191,2025-06-03,Mazur,sport,3,94.9,5,270.47
192,2025-06-03,Mazur,sport,4,323.29,0,1293.16
193,2025-06-04,Zielińska,książki,4,76.31,0,305.24
194,2025-06-04,Wiśniewski,książki,2,63.7,5,121.03
195,2025-06-04,Nowak,zabawki,2,105.01,10,189.02
196,2025-06-04,Nowak,książki,4,72.6,20,232.32
197,2025-06-05,Wiśniewski,zabawki,1,119.67,20,95.74
198,2025-06-06,Lis,elektronika,3,1155.44,0,3466.32
199,2025-06-06,Zielińska,elektronika,2,1257.68,20,2012.29
200,2025-06-07,Wiśniewski,zabawki,1,157.39,5,149.52
201,2025-06-07,Kowalska,zabawki,3,78.94,5,224.98
202,2025-06-07,Zielińska,książki,2,27.07,5,51.43
203,2025-06-09,Zielińska,książki,1,34.3,20,27.44
204,2025-06-11,Mazur,zabawki,3,115.49,10,311.82
205,2025-06-11,Lis,elektronika,1,832.12,0,832.12
206,2025-06-11,Zielińska,książki,3,54.96,0,164.88
207,2025-06-11,Mazur,elektronika,1,683.39,0,683.39
208,2025-06-12,Wiśniewski,zabawki,2,163.77,5,311.16
209,2025-06-12,Mazur,zabawki,4,185.24,10,666.86
210,2025-06-12,Wiśniewski,elektronika,1,483.08,0,483.08
211,2025-06-13,Nowak,książki,4,64.19,5,243.92
212,2025-06-13,Wiśniewski,książki,3,60.68,20,145.63
213,2025-06-13,Nowak,elektronika,4,856.17,0,3424.68
214,2025-06-13,Nowak,książki,1,31.31,0,31.31
215,2025-06-14,Mazur,elektronika,3,1223.56,5,3487.15
216,2025-06-14,Lis,zabawki,4,193.31,0,773.24
217,2025-06-14,Kowalska,książki,4,63.31,20,202.59
218,2025-06-15,Mazur,książki,1,75.07,20,60.06
219,2025-06-17,Nowak,książki,4,79.05,5,300.39
220,2025-06-17,Kowalska,sport,1,173.22,0,173.22
221,2025-06-18,Lis,zabawki,3,138.5,5,394.72
222,2025-06-18,Kowalska,książki,2,48.44,0,96.88
223,2025-06-19,Lis,sport,3,395.32,0,1185.96
224,2025-06-19,Mazur,elektronika,3,276.64,0,829.92
225,2025-06-19,Nowak,elektronika,1,706.71,0,706.71
226,2025-06-20,Nowak,sport,3,356.44,0,1069.32
227,2025-06-21,Mazur,książki,4,37.04,5,140.75
228,2025-06-21,Zielińska,książki,2,67.27,0,134.54
229,2025-06-22,Zielińska,elektronika,2,666.76,5,1266.84
230,2025-06-23,Wiśniewski,książki,4,78.8,0,315.2
231,2025-06-23,Wiśniewski,zabawki,1,180.2,0,180.2
232,2025-06-23,Lis,książki,2,38.08,10,68.54
233,2025-06-23,Zielińska,książki,3,66.21,5,188.7
234,2025-06-23,Nowak,książki,2,40.21,10,72.38
235,2025-06-24,Zielińska,elektronika,4,968.59,10,3486.92
236,2025-06-26,Lis,książki,2,59.51,0,119.02
237,2025-06-26,Nowak,książki,4,69.78,0,279.12
238,2025-06-28,Wiśniewski,sport,1,58.56,5,55.63
239,2025-06-29,Lis,książki,3,33.21,20,79.7
240,2025-06-29,Zielińska,książki,3,62.72,0,188.16
