id;data;klient;kategoria;ilosc;cena;rabat
43;2025-02-26;Nowak;książki;2;30,51;0
226;2025-06-20;Nowak;sport;3;356,44;0
127;2025-04-22;Kowalska;sport;1;201,38;10
94;2025-04-06;Zielińska;książki;3;67,58;10
166;2025-05-14;Mazur;zabawki;3;184,29;10
52;2025-03-06;wiśniewski;książki;4;24,2;0
96;2025-04-08;Wiśniewski;sport;4;398,19;5
141;2025-04-28;Mazur;zabawki;2;45,14;0
196;2025-06-04;Nowak;książki;4;72,6;20
77;2025-03-25;Lis;książki;4;72,03;10
42;2025-02-25;Mazur;książki;4;62,49;20
109;2025-04-13;Kowalska;elektronika;2;228,23;0
225;2025-06-19;Nowak;elektronika;1;706,71;0
79;2025-03-27;Wiśniewski;sport;1;264,73;0
145;2025-04-30;Mazur;zabawki;2;62,1;0
27;2025-02-14;Mazur;elektronika;3;1156,03;10
237;26.06.2025;Nowak;książki;4;69,78;0
234;2025-06-23; NOWAK ;książki;2;40,21;10
185;2025-05-30;Lis;sport;1;129,68;0
195;2025-06-04;Nowak;zabawki;2;105,01;10
1;2025-01-04;Kowalska;książki;1;33,68;0
3;2025-01-06;zielińska;książki;3;23,05;5
78;2025-03-25;Wiśniewski;książki;1;79,93;0
47;2025-03-01;Mazur;książki;1;36,41;0
101;2025-04-10;Wiśniewski;zabawki;2;75,57;0
138;2025-04-26;mazur;książki;3;32,48;0
148;2025-05-03;Zielińska;książki;1;48,77;5
176;2025-05-24;Lis;książki;4;43,95;0
91;2025-04-05;Kowalska;książki;3;70,2;0
86;2025-03-29;Mazur;elektronika;2;794,22;0
179;2025-05-25;Kowalska;książki;3;58,36;10
163;2025-05-13;Mazur;sport;1;2123,4;5
99;2025-04-08;Wiśniewski;książki;3;38,86;0
37;2025-02-21;Kowalska;książki;2;31,86;10
144;2025-04-30;Nowak;zabawki;1;93,16;20
62;2025-03-11;Zielińska;książki;1;48,05;10
23;2025-02-06;Wiśniewski;książki;2;50,35;5
119;2025-04-19;Lis;książki;2;28,4;10
159;10.05.2025;Wiśniewski;zabawki;2;46,62;20
137;2025-04-26;Nowak;zabawki;4;36,57;0
12;2025-01-26;Mazur;książki;1;45,69;0
240;2025-06-29;Zielińska;książki;3;62,72;0
28;2025-02-15;Lis;elektronika;3;327,06;20
151;2025-05-06;Wiśniewski;Książki ;3;61,42;0
5;2025-01-11;Wiśniewski;książki;4;48,14;0
123;2025-04-20;Zielińska;elektronika;2;522,88;10
33;20.02.2025;Nowak;zabawki;2;76,34;0
142;2025-04-29;Nowak;elektronika;1;683,57;10
177;2025-05-25;Nowak;książki;4;22,11;0
139;2025-04-26;Mazur;zabawki;1;118,22;10
63;2025-03-12;Wiśniewski;sport;1;187,22;0
136;2025-04-26;Wiśniewski;książki;4;79,64;10
129;2025-04-23;Nowak;elektronika;3;1197,32;20
222;2025-06-18;Kowalska;książki;2;48,44;0
186;2025-05-30;Mazur;książki;1;23,03;5
71;2025-03-20;Lis;sport;4;179,25;0
239;2025-06-29;Lis;książki;3;33,21;20
65;2025-03-14;Zielińska;zabawki;4;157,8;20
45;2025-02-28;Mazur;zabawki;3;111,33;0
221;2025-06-18;Lis;zabawki;3;138,5;5
41;2025-02-25;Wiśniewski;Zabawki ;2;159,29;0
124;2025-04-20;Lis;elektronika;2;1452,1;0
24;2025-02-07;Nowak;sport;4;307,8;20
184;2025-05-29;Mazur;książki;2;70,9;brak
221;2025-06-18;Lis;zabawki;3;138,5;5
82;2025-03-28;Zielińska;sport;2;327,01;0
40;2025-02-25;Kowalska;zabawki;3;180,08;0
206;2025-06-11;Zielińska;książki;3;54,96;0
48;2025-03-03;Kowalska;zabawki;3;82,42;10
95;2025-04-07;Wiśniewski;zabawki;3;174,13;10
187;2025-06-01;Mazur;zabawki;2;177,46;0
162;2025-05-13;Lis;książki;1;31,12;10
44;2025-02-27;Zielińska;książki;4;41,46;10
146;2025-04-30;Lis;elektronika;4;413,92;0
168;16.05.2025;Wiśniewski;książki;4;35,96;0
4;2025-01-10;Wiśniewski;sport;2;393,49;0
106;2025-04-12;Wiśniewski;sport;4;153,7;5
54;2025-03-08;Wiśniewski;sport;1;323,77;0
134;2025-04-24;Mazur;elektronika;2;155,81;0
223;2025-06-19;Lis;sport;3;395,32;0
202;2025-06-07;Zielińska;książki;2;27,07;5
228;2025-06-21;Zielińska;książki;2;67,27;0
50;2025-03-04;Mazur;książki;;53,01;5
164;2025-05-13;Kowalska;zabawki;1;79,2;10
81;28.03.2025;Lis;zabawki;2;184,46;0
35;2025-02-21; WIŚNIEWSKI ;elektronika;1;1440,66;10
232;2025-06-23;Lis;książki;2;38,08;10
8;2025-01-17;Zielińska;zabawki;1;40,26;0
172;2025-05-19;Kowalska;elektronika;3;1424,13;0
111;14.04.2025;Zielińska;sport;4;191,01;10
92;2025-04-05;Wiśniewski;elektronika;4;296,69;0
84;2025-03-29;Mazur;zabawki;1;43,8;0
219;2025-06-17;Nowak;książki;4;79,05;5
224;2025-06-19;Mazur;elektronika;3;276,64;0
90;2025-04-01;Kowalska;książki;1;53,13;0
9;2025-01-18;Wiśniewski;elektronika;2;1259,99;10
14;2025-01-29;Mazur;zabawki;2;175,56;0
60;2025-03-11;Wiśniewski;książki;1;41,65;20
235;2025-06-24;Zielińska;elektronika;4;968,59;10
132;2025-04-23;Nowak;sport;4;342,29;20
18;2025-01-31;Nowak;sport;4;285,15;0
167;2025-05-16; MAZUR ;książki;2;68,16;5
73;2025-03-21;Nowak;książki;3;65,79;10
216;2025-06-14;Lis;zabawki;4;193,31;0
135;2025-04-25; MAZUR ;elektronika;1;921,08;20
201;2025-06-07;Kowalska;zabawki;3;78,94;5
226;2025-06-20;Nowak;sport;3;356,44;0
64;2025-03-13;Nowak;książki;4;34,46;0
55;2025-03-08; KOWALSKA ;książki;2;64,88;0
108;2025-04-13;Nowak;książki;3;31,71;10
51;2025-03-05;Kowalska;książki;3;62,3;0
214;2025-06-13;Nowak;książki;1;31,31;0
175;2025-05-24;Wiśniewski;książki;3;70,8;20
205;2025-06-11;Lis;elektronika;1;832,12;0
190;2025-06-02;Zielińska;sport;2;315,99;0
224;2025-06-19;Mazur;elektronika;3;276,64;0
217;2025-06-14;Kowalska;książki;4;63,31;20
170;2025-05-19;Zielińska;książki;3;35,28;0
59;2025-03-11;Lis;zabawki;4;70,93;brak
49;2025-03-04;Lis;książki;3;27,64;20
89;2025-03-31;Lis;zabawki;1;126,59;0
22;05.02.2025;Zielińska;zabawki;4;168,06;0
58;2025-03-10;Wiśniewski;sport;4;337,19;0
204;2025-06-11;Mazur;zabawki;3;115,49;10
161;2025-05-10;Zielińska;książki;4;32,03;0
238;28.06.2025;Wiśniewski;sport;1;58,56;5
188;2025-06-01;Kowalska;elektronika;1;562,83;10
192;2025-06-03;Mazur;sport;4;323,29;0
130;2025-04-23;Lis;książki;1;66,31;brak
38;2025-02-23;Wiśniewski;książki;1;37,48;0
158;2025-05-10;Wiśniewski;książki;1;65,27;5
231;2025-06-23;Wiśniewski;zabawki;1;1802,0;0
2;2025-01-05;Nowak;zabawki;1;138,39;5
53;2025-03-06;Zielińska;zabawki;2;111,79;0
150;2025-05-05;Nowak;książki;3;58,54;0
131;2025-04-23;Mazur;zabawki;3;94,31;5
152;2025-05-07;Lis;elektronika;4;1477,03;5
104;2025-04-11;Wiśniewski;książki;1;40,68;5
100;2025-04-09;Zielińska;zabawki;4;98,28;5
117;2025-04-18;Lis;sport;4;142,65;0
88;2025-03-30;Wiśniewski;książki;;44,44;20
203;2025-06-09;Zielińska;książki;1;34,3;20
75;2025-03-23;Zielińska;elektronika;4;822,21;10
215;2025-06-14;Mazur;elektronika;3;1223,56;5
211;2025-06-13;Nowak;książki;4;64,19;5
122;2025-04-20;Kowalska;elektronika;2;467,6;0
83;2025-03-29;Wiśniewski;zabawki;4;108,36;0
21;2025-02-04;Wiśniewski;elektronika;1;723,86;5
189;2025-06-02;Mazur;książki;2;57,13;20
72;2025-03-21;Mazur;sport;3;132,6;20
107;2025-04-13;Zielińska;książki;2;30,19;20
15;2025-01-30;Lis;zabawki;1;137,28;0
93;2025-04-06;Mazur;elektronika;1;453,99;5
180;2025-05-25;Zielińska;książki;4;66,97;10
103;2025-04-11;Mazur;zabawki;3;189,6;0
